0.00, 0.00, 0.65, 0.33
0.00, 0.00, 0.64, 0.32
0.00, 6.84, 0.64, 0.32
16.77, 20.90, 0.65, 0.33
14.04, 17.11, 0.74, 0.37
9.29, 9.22, 0.74, 0.37
14.11, 18.78, 0.90, 0.45
22.87, 27.86, 0.90, 0.45
28.67, 32.50, 1.14, 0.57
41.18, 37.90, 1.28, 0.64
43.22, 37.02, 1.28, 0.64
44.74, 34.41, 1.76, 0.88
43.97, 54.47, 1.98, 0.99
55.96, 47.14, 1.98, 0.99
39.84, 53.70, 2.14, 1.07
58.16, 57.69, 2.14, 1.07
57.23, 57.25, 2.37, 1.19
58.80, 53.76, 2.60, 1.30
49.77, 61.40, 2.60, 1.30
60.33, 57.17, 2.71, 1.36
58.36, 57.68, 2.71, 1.36
63.40, 61.05, 2.84, 1.42
62.24, 60.33, 2.93, 1.47
61.11, 61.21, 2.93, 1.47
62.01, 61.31, 2.85, 1.43
64.08, 62.20, 2.96, 1.48
62.18, 59.26, 2.96, 1.48
64.27, 60.32, 2.90, 1.45
60.94, 62.35, 2.71, 1.36
62.85, 60.96, 2.71, 1.36
62.20, 58.11, 2.49, 1.25
60.09, 60.27, 2.49, 1.25
65.83, 59.45, 2.00, 1.00
63.04, 57.04, 2.00, 1.00
59.14, 60.57, 1.49, 0.75
65.24, 61.08, 1.05, 0.53
64.50, 58.03, 1.05, 0.53
60.13, 61.04, 0.63, 0.32
62.38, 60.36, 0.32, 0.16
61.21, 60.13, 0.32, 0.16
63.38, 61.72, 0.16, 0.08
62.09, 64.39, 0.16, 0.08
60.89, 61.05, -0.02, -0.01
60.00, 61.03, -0.10, -0.05
61.93, 61.32, -0.10, -0.05
62.38, 62.77, -0.06, -0.03
60.71, 60.37, 0.02, 0.01
62.47, 60.61, 0.02, 0.01
59.82, 61.47, 0.13, 0.07
60.27, 60.86, 0.13, 0.07
63.64, 60.63, 0.21, 0.11
59.86, 62.56, 0.33, 0.17
61.43, 60.50, 0.33, 0.17
62.96, 59.44, 0.33, 0.17
62.06, 61.71, 0.33, 0.17
60.43, 60.73, 0.33, 0.17
60.48, 59.22, 0.30, 0.15
60.62, 60.23, 0.22, 0.11
62.65, 62.39, 0.22, 0.11
58.19, 59.12, 0.08, 0.04
62.70, 57.28, 0.08, 0.04
62.11, 62.78, 0.03, 0.02
60.56, 59.72, -0.03, -0.01
62.92, 62.12, -0.03, -0.01
EndTime: 2523.00
